iter	RMSE
263	1.712632919
264	1.712570457
265	1.712259154
266	1.712041557
267	1.71157273
268	1.710920907
269	1.710915021
270	1.710890855
271	1.71083322
272	1.709772623
273	1.709372727
274	1.708916882
275	1.70853721
276	1.70777168
277	1.70712052
278	1.706034643
279	1.705753932
280	1.704780439
281	1.704522347
282	1.704187339
283	1.703333328
284	1.703213195
285	1.702259482
286	1.701760526
287	1.701476985
288	1.701429371
289	1.701203527
290	1.700802558
291	1.700732126
292	1.700125548
293	1.70011518
294	1.699614082
295	1.699594243
296	1.69950299
297	1.699193777
298	1.699027017
299	1.698549554
300	1.698218265
301	1.698028269
302	1.697219346
303	1.696823121
304	1.696441807
305	1.695846459
306	1.695497772
307	1.695487159
308	1.695082342
309	1.694824053
310	1.694496069
311	1.694134984
312	1.694113202
313	1.693395673
314	1.693253133
315	1.693103335
316	1.692711266
317	1.692406483
318	1.69204199
319	1.691718733
320	1.691537002
321	1.690889398
322	1.690761135
323	1.690436154
324	1.690123552
325	1.689394609
326	1.688747105
327	1.688637396
328	1.688010694
329	1.687593039
330	1.687581794
331	1.687378188
332	1.687008216
333	1.686305687
334	1.686164344
335	1.686000708
336	1.685377384
337	1.685147507
338	1.68441953
339	1.684285409
340	1.683500152
341	1.683331086
342	1.682940313
343	1.682635694
344	1.682339502
345	1.682204002
346	1.680584032
347	1.680325867
348	1.680167554
349	1.67992334
350	1.679454032
351	1.679035587
352	1.67888437
353	1.678540644
354	1.678212949
355	1.677501642
356	1.677352586
357	1.676969947
358	1.676888741
359	1.676519376
360	1.676243253
361	1.675751251
362	1.675518924
363	1.675396529
364	1.675226405
365	1.675107551
366	1.674889363
367	1.674527781
368	1.674435749
369	1.674095424
370	1.673845197
371	1.673342116
372	1.672771775
373	1.672630489
374	1.672455523
375	1.672082037
376	1.671856685
377	1.671778458
378	1.671665387
379	1.671477955
380	1.671118929
381	1.670865713
382	1.670279156
383	1.669857336
384	1.669733612
385	1.669002531
386	1.668910897
387	1.668699452
388	1.66805127
389	1.667823938
390	1.667807793
391	1.6677011
392	1.667606056
393	1.667367896
394	1.667260738
395	1.667164805
396	1.667157429
397	1.666871101
398	1.666558379
399	1.666385808
400	1.66579034
401	1.665704373
402	1.665303108
403	1.665041594
404	1.664410165
405	1.66415029
406	1.664020544
407	1.663505333
408	1.6634419
409	1.663369532
410	1.662704151
411	1.662579605
412	1.661372454
413	1.661270548
414	1.661205911
415	1.66082716
416	1.660568701
417	1.660551277
418	1.660405749
419	1.660259981
420	1.66007836
421	1.659892516
422	1.659681814
423	1.658945103
424	1.658933372
425	1.658169823
426	1.657962575
427	1.657614243
428	1.65730643
429	1.656959393
430	1.656666797
431	1.656509068
432	1.655946079
433	1.655338239
434	1.655263221
435	1.655256218
436	1.654431722
437	1.654161346
438	1.653851974
439	1.653667745
440	1.653399983
441	1.653067916
442	1.652492581
443	1.65212236
444	1.651777343
445	1.65164446
446	1.651638742
447	1.651153993
448	1.650736708
449	1.650722849
450	1.650560735
451	1.650246516
452	1.649879955
453	1.649443502
454	1.649286219
455	1.649018047
456	1.648583522
457	1.648185809
458	1.647915641
459	1.647693159
460	1.647425107
461	1.647298148
462	1.646636028
463	1.646549202
464	1.646374462
465	1.646130227
466	1.645646646
467	1.645544485
468	1.645366961
469	1.645298343
470	1.64509454
471	1.644961548
472	1.644486212
473	1.644411943
474	1.643703353
475	1.643513675
476	1.642846807
477	1.64255166
478	1.642230801
479	1.641823696
480	1.641656345
481	1.641586295
482	1.641270594
483	1.640949452
484	1.640780868
485	1.640699264
486	1.640615215
487	1.640566164
488	1.639434233
489	1.639135184
490	1.638862931
491	1.63875889
492	1.638511987
493	1.638483569
494	1.638173091
495	1.637891193
496	1.637762847
497	1.637646668
498	1.637513264
499	1.637283409
500	1.63727528
501	1.636839486
502	1.636723883
503	1.636567061
504	1.636497621
505	1.636328085
506	1.636159595
507	1.63603132
508	1.635950087
509	1.635693995
510	1.635249569
511	1.63500399
512	1.634512025
513	1.634264604
514	1.633984407
515	1.633726135
516	1.633546338
517	1.633494334
518	1.633149848
519	1.633139444
520	1.632956612
521	1.632909081
522	1.632747026
523	1.632442245
524	1.632423558
525	1.632344263
526	1.632200979
527	1.632045792
528	1.631789497
529	1.63164204
530	1.631609117
531	1.631463479
532	1.631235281
533	1.630956999
534	1.630631462
535	1.630502281
536	1.630458575
537	1.629746954
538	1.629185617
539	1.628731771
540	1.62867763
541	1.628557461
542	1.628364064
543	1.628180944
544	1.627871208
545	1.627707967
546	1.627699605
547	1.627620191
548	1.627396375
549	1.62727896
550	1.627146936
551	1.62654819
552	1.626327424
553	1.626152788
554	1.625573389
555	1.625349585
556	1.625338939
557	1.625150757
558	1.62500383
559	1.624868835
560	1.624753065
561	1.624547418
562	1.624299078
563	1.6242309
564	1.624083007
565	1.624066945
566	1.623522007
567	1.623384334
568	1.623320606
569	1.623182197
570	1.622988419
571	1.622940689
572	1.622812956
573	1.622764759
574	1.62254151
575	1.622251778
576	1.622076415
577	1.6217317
578	1.621703782
579	1.621692423
580	1.621618706
581	1.62148812
582	1.621015037
583	1.620366832
584	1.620316313
585	1.61987952
586	1.619846552
587	1.619347475
588	1.619156769
589	1.619078078
590	1.618300227
591	1.618134305
592	1.618054026
593	1.61757354
594	1.617388277
595	1.617233049
596	1.61717435
597	1.616915543
598	1.616814419
599	1.616508516
600	1.616042525
601	1.615868729
602	1.615773112
603	1.61545006
604	1.615431204
605	1.614848317
606	1.6146999
607	1.614389153
608	1.614185816
609	1.614166927
610	1.614082574
611	1.613470868
612	1.613075969
613	1.61282543
614	1.612370887
615	1.612338038
616	1.612300908
617	1.611901899
618	1.611636186
619	1.611495612
620	1.6114613
621	1.611248564
622	1.611194663
623	1.611146219
624	1.6111088
625	1.610744716
626	1.61009893
627	1.610010896
628	1.609822912
629	1.609669037
630	1.609397319
631	1.609298464
632	1.609056365
633	1.608623751
634	1.60851266
635	1.608410391
636	1.608251655
637	1.608234352
638	1.608110867
639	1.607754828
640	1.607422276
641	1.606850485
642	1.606756174
643	1.606714278
644	1.60667253
645	1.606599367
646	1.605541995
647	1.605353757
648	1.605058398
649	1.604377877
650	1.604194181
651	1.604000271
652	1.603887428
653	1.6037907
654	1.603532857
655	1.603514643
656	1.603325217
657	1.603250752
658	1.603203072
659	1.60290122
660	1.602668395
661	1.602359575
662	1.602199866
663	1.601949152
664	1.601680863
665	1.601439965
666	1.601336923
667	1.601271024
668	1.600977967
669	1.600945015
670	1.600867663
671	1.600437657
672	1.600050285
673	1.599859032
674	1.599815098
675	1.59960433
676	1.599314501
677	1.599012743
678	1.598877089
679	1.598778501
680	1.598545866
681	1.598444398
682	1.598036901
683	1.598031148
684	1.598022488
685	1.597795854
686	1.597707481
687	1.597376217
688	1.597295023
689	1.596941844
690	1.596759417
691	1.596480985
692	1.596147444
693	1.595933884
694	1.595754146
695	1.595632025
696	1.595587407
697	1.595223828
698	1.59478781
699	1.594617046
700	1.594144256
701	1.593800605
702	1.593613344
703	1.593579235
704	1.593478037
705	1.593336151
706	1.592792873
707	1.592672971
708	1.592177226
709	1.591984132
710	1.591788793
711	1.591375181
712	1.59124356
713	1.591216686
714	1.591132362
715	1.590703377
716	1.590455293
717	1.590083282
718	1.590067934
719	1.589754315
720	1.589681307
721	1.589616699
722	1.589541227
723	1.589414775
724	1.588939968
725	1.588860967
726	1.588846445
727	1.588575505
728	1.588457553
729	1.588413907
730	1.588218847
731	1.588016491
732	1.587627929
733	1.587609109
734	1.586957662
735	1.586705615
736	1.586407626
737	1.586070026
738	1.586042297
739	1.58565765
740	1.585301851
741	1.585254909
742	1.584779338
743	1.584326674
744	1.584211057
745	1.584145937
746	1.58392105
747	1.583810657
748	1.583680712
749	1.583647455
750	1.583372949
751	1.583216576
752	1.58308437
753	1.582679402
754	1.582350979
755	1.582269111
756	1.582153747
757	1.581825457
758	1.581661028
759	1.581630208
760	1.581610158
761	1.58156831
762	1.581485417
763	1.581298032
764	1.581081633
765	1.580927182
766	1.580874442
767	1.580699447
768	1.580528873
769	1.580462501
770	1.58036976
771	1.580284814
772	1.580004203
773	1.579631899
774	1.579561922
775	1.57950109
776	1.579168792
777	1.57891955
778	1.578788072
779	1.578640459
780	1.578507177
781	1.578289641
782	1.578245014
783	1.578211361
784	1.578089111
785	1.57805055
786	1.57767252
787	1.577551376
788	1.577382433
789	1.577077845
790	1.57666781
791	1.576511898
792	1.576381917
793	1.575825229
794	1.575046663
795	1.574348904
796	1.574215394
797	1.573851573
798	1.573547957
799	1.573411559
800	1.573406907
801	1.573292035
802	1.573186594
803	1.57287633
804	1.57255742
805	1.572526107
806	1.572398111
807	1.572230409
808	1.57213042
809	1.572047709
810	1.571998023
811	1.571868389
812	1.571671709
813	1.57144227
814	1.571275495
815	1.571143304
816	1.570966375
817	1.570614068
818	1.570451159
819	1.570371419
820	1.570200193
821	1.570137571
822	1.569598933
823	1.569488188
824	1.569200228
825	1.568787728
826	1.568609533
827	1.567939916
828	1.567612583
829	1.567306493
830	1.567068737
831	1.566887215
832	1.566855431
833	1.565950826
834	1.565665834
835	1.565628986
836	1.565507984
837	1.565366608
838	1.565082314
839	1.564939116
840	1.564617885
841	1.564417673
842	1.564260383
843	1.564038681
844	1.564028625
845	1.563835568
846	1.563679708
847	1.563465416
848	1.563230855
849	1.562901964
850	1.562797241
851	1.562559511
852	1.562249825
853	1.562004889
854	1.561922566
855	1.561883745
856	1.561800583
857	1.561726622
858	1.561665857
859	1.561556145
860	1.561491757
861	1.561418199
862	1.560969889
863	1.560678059
864	1.560593015
865	1.560376657
866	1.560315286
867	1.56004869
868	1.559931157
869	1.559642936
870	1.55954864
871	1.559536302
872	1.559517169
873	1.559088084
874	1.558895277
875	1.558603259
876	1.558377747
877	1.558184443
878	1.557983303
879	1.557651812
880	1.557563204
881	1.557266031
882	1.55704504
883	1.55668344
884	1.556423033
885	1.556411406
886	1.556380507
887	1.556313052
888	1.556307724
889	1.556103374
890	1.555612544
891	1.555363661
892	1.554960324
893	1.554906748
894	1.55461146
895	1.554607698
896	1.55422722
897	1.554165969
898	1.553941208
899	1.553900998
900	1.553799395
901	1.553525458
902	1.553113285
903	1.552669559
904	1.552611061
905	1.552398459
906	1.55228103
907	1.55221987
908	1.552166636
909	1.552038349
910	1.551310384
911	1.550951744
912	1.550939924
913	1.55077957
914	1.550576019
915	1.550411216
916	1.549988309
917	1.5496402
918	1.549567397
919	1.549399945
920	1.549309346
921	1.549110676
922	1.54901932
923	1.548892948
924	1.548497933
925	1.548280579
926	1.548113916
927	1.54807613
928	1.54782577
929	1.547619193
930	1.547376284
931	1.54718148
932	1.546805963
933	1.54671721
934	1.546592268
935	1.546477144
936	1.54630606
937	1.546180556
938	1.546053719
939	1.545685443
940	1.545503903
941	1.54547009
942	1.545419141
943	1.545228033
944	1.545108641
945	1.545081455
946	1.544889083
947	1.544868003
948	1.544693885
949	1.544630349
950	1.544424118
951	1.54408557
952	1.543667298
953	1.543391668
954	1.543223996
955	1.543036043
956	1.542764407
957	1.542626338
958	1.542500064
959	1.542292454
960	1.542099073
961	1.54192522
962	1.541593458
963	1.541484887
964	1.541177875
965	1.541156954
966	1.540960275
967	1.540874445
968	1.540730561
969	1.540663372
970	1.540555068
971	1.540357414
972	1.540303514
973	1.540278509
974	1.540082944
975	1.539909948
976	1.539823104
977	1.539726168
978	1.53961113
979	1.539512557
980	1.539481402
981	1.539138621
982	1.539068347
983	1.538675751
984	1.538591164
985	1.538515779
986	1.538475902
987	1.538418862
988	1.538243113
989	1.538167865
990	1.53815638
991	1.538016122
992	1.537885341
993	1.537788956
994	1.537694422
995	1.537540284
996	1.537445734
997	1.537400682
998	1.53731817
999	1.537205109
